도시이름,관광지이름,관광지설명,별점,좋아요,카테고리1,카테고리2
도쿄,시부야 스카이,넋을 놓고 바라보게 만드는 스카이 라인을 자랑하는 전망대,4.6,"12,229",휴양,문화
도쿄,센소지,"일본 전통 문화가 살아 숨쉬는, 도쿄에서 가장 오래된 사원",4.3,"26,114",쇼핑,문화
도쿄,도쿄 타워,아름다운 전망을 즐길 수 있는 도쿄의 상징,4.4,"36,266",문화,편의성
도쿄,아사쿠사,대도시 속에서 전통 문화를 느낄 수 있는 일본판 인사동,4.4,"24,646",문화,관광
도쿄,시부야 스크램블 교차로,"'사람 홍수'를 카메라에 담을 수 있는, 시부야 대표 포토 스팟",4.1,"24,946",쇼핑,문화
도쿄,도쿄 디즈니랜드,월트 디즈니가 창조한 동화 속 세상,4.6,"25,547",편의성,문화
도쿄,메가 돈키호테 시부야 본점,24시간 영업하는 일본 대표 프랜차이즈 대형 생활 잡화 판매점,4.1,"19,448",쇼핑,문화
도쿄,아키하바라,다양한 애니메이션 관련 제품을 만날 수 있는 일본 대표 오타로드,4.2,"19,270",쇼핑,문화
도쿄,롯폰기 힐즈,도심 속 여유를 즐길 수 있는 롯폰기 최고의 명소,4.4,"22,571",문화,관광
도쿄,도쿄 역,100년의 역사를 가지고 있는 '도쿄의 현관',4.1,"7,445",문화,문화
후쿠오카,캐널시티 하카타,쇼핑과 엔터테인먼트를 동시에 즐길 수 있는 복합 상업시설,4.2,"50,390",문화,관광
후쿠오카,시사이드 모모치 해변공원,이국적인 휴양지 분위기를 가진 도심 속 해변 공원,4.0,"40,486",문화,관광
후쿠오카,후쿠오카 타워,하카타 만의 아름다운 오션뷰를 감상할 수 있는 랜드마크 타워,4.0,"39,575",편의성,문화
후쿠오카,하카타 역,"쇼핑과 식사, 도심 전망까지 한번에 즐길 수 있는 규슈 최대 규모의 역",4.4,"17,273",문화,관광
후쿠오카,나카스,일본식 포장마차 '야타이'가 몰려 있는 거리,3.6,"34,464",문화,문화
후쿠오카,오호리 공원,도심 속 시민들의 휴식처로 사용되는 큰 규모의  호수 공원,4.4,"30,787",문화,관광
후쿠오카,돈키호테 덴진 본점,소소한 잡화와 실용적인 물건들을 구매하기 좋은 프랜차이즈 드럭 스토어 ,3.9,"15,261",쇼핑,문화
후쿠오카,덴진 지하상가,덴진 지역의 쇼핑 플레이스들을 잇는 큰 규모의 지하상가,3.9,"29,274",편의성,쇼핑
후쿠오카,이치란 본사 총본점,일본을 대표하는 프랜차이즈 라멘 전문점,4.3,"32,401",쇼핑,문화
후쿠오카,덴진 다이묘 거리,맛집 탐방과 쇼핑을 함께 즐길 수 있는 번화가,3.9,"17,695",문화,편의성
오사카,도톤보리,화려한 네온사인 속 맛집 탐험! 오사카 NO.1 관광 명소,4.3,"89,482",문화,관광
오사카,유니버설 스튜디오 재팬,온가족 모두 즐거운 할리우드 영화 테마파크,4.7,"55,394",편의성,문화
오사카,오사카 성,오사카를 상징하는 랜드마크이자 필수 관광 코스,4.0,"64,052",편의성,관광
오사카,청수사,아름다운 사계절을 조망할 수 있는 교토 최고의 인기 사찰,4.2,"41,717",편의성,문화
오사카,산넨자카 니넨자카,사계절의 아름다운과 교토의 옛 모습을 간직한 거리,4.4,"30,466",편의성,문화
오사카,헵파이브,빨간 대관람차로 유명한 대형 복합 쇼핑몰,4.2,"48,120",음식,문화
오사카,공중 정원 전망대,오사카 야경을 즐길 수 있는 우메다 스카이 빌딩의 옥외 전망대,4.2,"31,442",휴양,편의성
오사카,돈키호테 도톤보리 점,세계 최초의 타원형 관람차가 있는 일본 대표 드럭스토어 체인,3.6,"50,325",쇼핑,문화
오사카,구로몬 시장,다양한 먹거리가 있는 '오사카의 부엌',3.8,"65,662",관광,문화
