date,trade_rate,foreign_check
date,trade_rate,foreign_check
2023.12.08,910.44,901.07
2023.12.07,910.0,900.64
2023.12.06,892.71,883.53
2023.12.05,894.04,884.84
2023.12.04,889.35,880.2
2023.12.01,884.49,875.39
2023.11.30,876.48,867.47
2023.11.29,875.04,866.04
2023.11.28,873.61,864.62
2023.11.27,874.32,865.33
2023.11.24,873.64,864.65
2023.11.23,871.23,862.27
2023.11.22,873.35,864.37
2023.11.21,874.51,865.51
2023.11.20,871.57,862.6
2023.11.17,866.44,857.52
2023.11.16,858.38,849.55
2023.11.15,865.07,856.17
2023.11.14,870.49,861.53
2023.11.13,873.55,864.56
2023.11.10,871.42,862.46
2023.11.09,868.57,859.63
2023.11.08,869.38,860.44
2023.11.07,870.75,861.79
2023.11.06,867.59,858.66
2023.11.03,877.8,868.77
2023.11.02,887.71,878.58
2023.11.01,897.94,888.71
2023.10.31,896.23,887.01
2023.10.30,901.65,892.37
2023.10.27,907.39,898.05
2023.10.26,903.41,894.11
2023.10.25,903.18,893.88
2023.10.24,899.35,890.09
2023.10.23,901.36,892.08
2023.10.20,902.81,893.52
2023.10.19,907.0,897.67
2023.10.18,904.39,895.08
2023.10.17,905.78,896.46
2023.10.16,903.23,893.93
2023.10.13,905.96,896.64
2023.10.12,898.91,889.67
2023.10.11,900.7,891.43
2023.10.10,905.28,895.96
2023.10.06,909.95,900.59
2023.10.05,910.34,900.97
2023.10.04,910.46,901.09
2023.09.27,906.94,897.61
2023.09.26,906.31,896.98
2023.09.25,901.91,892.63
2023.09.22,900.67,891.4
2023.09.21,908.75,899.4
2023.09.20,898.72,889.47
2023.09.19,900.2,890.93
2023.09.18,898.32,889.07
2023.09.15,901.46,892.18
2023.09.14,901.48,892.2
2023.09.13,901.71,892.43
2023.09.12,904.05,894.75
2023.09.11,908.22,898.87
2023.09.08,904.69,895.38
2023.09.07,907.79,898.45
2023.09.06,904.44,895.13
2023.09.05,906.1,896.78
2023.09.04,901.21,891.93
2023.09.01,903.59,894.29
2023.08.31,906.7,897.37
2023.08.30,907.56,898.22
2023.08.29,905.27,895.95
2023.08.28,905.21,895.89
2023.08.25,906.14,896.81
2023.08.24,909.93,900.57
2023.08.23,922.76,913.27
2023.08.22,917.47,908.03
2023.08.21,916.83,907.4
2023.08.18,924.14,914.63
2023.08.17,917.94,908.5
2023.08.16,918.5,909.05
2023.08.14,919.86,910.4
2023.08.11,918.91,909.46
2023.08.10,911.07,901.7
2023.08.09,916.72,907.29
2023.08.08,922.43,912.95
2023.08.07,920.48,911.01
2023.08.04,922.69,913.2
2023.08.03,912.06,902.68
2023.08.02,906.4,897.07
2023.08.01,900.4,891.14
2023.07.31,896.95,887.72
2023.07.28,905.26,895.94
2023.07.27,908.7,899.35
2023.07.26,908.8,899.45
